Datum,Totalt antal passager,Antal skattebeslut
1 oktober,363 000,113 000
2 oktober,365 000,113 000
3 oktober,371 000,114 000
4 oktober,375 000,116 000
5 oktober,372 000,118 000
8 oktober,357 000,110 000
9 oktober,369 000,114 000
10 oktober,371 000,115 000
11 oktober,372 000,115 000
12 oktober,375 000,119 000
15 oktober,360 000,111 000
16 oktober,370 000,113 000
17 oktober,376 000,115 000
18 oktober,380 000,117 000
19 oktober,376 000,118 000
22 oktober,364 000,112 000
23 oktober,372 000,114 000
24 oktober,378 000,117 000
25 oktober,381 000,118 000
26 oktober,381 000,120 000
29 oktober,361 000,112 000
30 oktober,370 000,115 000
31 oktober,372 000,116 000