M책nad,Antal dagar med tr채ngselskatt,Totalt antal passager,"Debiterad 
tr채ngselskatt",Till채ggs-avgift
Januari,21,"7,0 miljoner","68,8 Mkr","8,4 Mkr"
Februari,20,"6,9 miljoner","68,4 Mkr","8,4 Mkr"
Mars,21,"7,4 miljoner","73,9 Mkr","9,4 Mkr"
April,18,"6,5 miljoner","64,9 Mkr","9,4 Mkr"
Maj,19,"6,9 miljoner","67,9 Mkr","10,4 Mkr"
Juni,18,"6,6 miljoner","65,2 Mkr","9,4 Mkr"
Juli,-,-,-,-
Augusti,21,"7,1 miljoner","70,5 Mkr","8,4 Mkr"
September,22,"7,9 miljoner","78,2 Mkr","9,2 Mkr"
Oktober,21,"7,9 miljoner","78,4 Mkr","9,5 Mkr"
November,20,"7,2 miljoner","71,7 Mkr","9,5 Mkr"
December,19,"6,7 miljoner","66,1 Mkr","8,8 Mkr"
