Name,Latitude,Longitude
188800,Abisko,68.3557,18.8206
188790,Abisko,68.3538,18.8164
158990,Abraur,65.9857,18.9195
97280,Adelsö A,59.3579,17.5213
134590,Almdalen,63.9967,14.6701
167710,Arjeplog A,66.0513,17.8396
97390,Arlanda,59.66,17.9208
159880,Arvidsjaur A,65.5941,19.2642
92410,Arvika A,59.6743,12.6354
106070,Avesta,60.1413,16.1715
84340,Axle steel Mo,58.5719,14.5722
62180,Barkåkra,56.2979,12.8441
74080,Mountain,57121,14.6931
98040,Berga Mo,59.0688,18.1184
151280,Bjuröklubb A,64.4799,21.5754
178820,Björkudden,67.3956,18.7156
92130,Flower Forest A,59.2213,12.0754
132110,The Blue Hammer A,63.1854,12.1734
161940,Boden Mo,65.8151,21.6396
155900,Boksjö,65.6772,15.8245
54300,Bollerup,55.4926,14.0395
105260,Borlänge Airport,60.4294,15.5079
72450,Boras,57.7611,12.9493
102390,Brattmon V,60.7569,12.7723
106040,Brovallen,60.0989,16.3026
127130,Brämön A,62.2198,17739
157870,Lake Bures A,65558,17.8554
123460,The baby A,62.7548,13.8427
94390,Dayless A,59.6612,14.1803
116490,Delsbo A,61.8264,16.5385
156770,Dikanäs,65.2337,16.0018
75120,Drageryd,57.2001,15.9666
123060,Dravagen A,62.0936,13.6086
132590,Edevik,63.9812,12.8709
115220,Edsbyn A,61.3607,15.7144
62530,Afftra-Broen V,56.8625,12.6628
107440,Egg base A,60.7298,17.5584
96140,Eklången,59.2358,16.7429
97370,Enköping Mo,59.6557,17.1121
82350,Erikstad-Bergarud V,58.6003,12413
96190,Eskilstuna A,59.3821,16.4526
181970,Esrange,67.8911,21.0846
52230,Falsterbo,55.3836,12.8203
52240,Falsterbo A,55.3837,12.8166
105370,Falun tranquility,60619,15.6603
107140,Film A,60.2358,17.9043
74420,Flahult,57.6898,14.1455
122430,Flatruet V,62.7291,12.7264
96040,River A,59.0558,16.3944
137080,Forse,63.1461,17.0223
148040,Fredrika A,64.0744,18.3619
104090,Frederiksberg,60.1417,14.3909
134110,Frösön,63.1974,14.4863
78550,Fårösund Ar A,57.9165,18.9533
134410,Föllinge A,63.6761,14.6048
82110,Gendalen,58.1582,12.6448
155790,Gielas A,65.3269,15.0645
76420,Gladhammar A,57.7068,16.4526
159770,Glommersträsk,65.2764,19.6839
89230,Gotska Sandön A,58.3939,19194
112170,Grundforsen,61.2797,12.8568
145130,Gubbhögen A,64.2172,15.5529
147570,Gunnarn,65.0074,17.7085
147560,Gunnarn A,65.0094,17.6993
98180,Gustavsberg,59.3226,18.3725
103090,Gustavsfors,60.1514,13.7975
103100,Gustavsfors A,60.1533,13799
144310,Pike A,64.5044,14.2207
180760,Gällivare A,67.1407,20.6413
107420,Gävle A,60.7161,17.1607
84520,Gårdsjö A,58.8768,14.3875
71420,Göteborg A,57.7156,11.9924
74180,Hagshult Mo,57.2926,14.1399
62260,Hallands Väderö A,56.4496,12.5453
135460,Hallhåxåsen A,63.7685,15.3279
62400,Halmstad,56.6737,12.9242
114410,Hamra A,61.6599,14.9918
64020,Hanö A,56.0135,14.8463
163950,Haparanda,65.8367,24.113
163960,Haparanda A,65.8237,24.1112
87140,Harstena A,58.2505,17.0106
123340,Hedeviken,62.4112,13.6748
62040,Helsingborg A,56.0304,12.7653
155970,Hemavan Flygplats,65.8077,15.0854
155960,Hemavan-Gierevarto A,65.7813,15.0623
138400,Hemling,63.6574,18.5318
138390,Hemling A,63.6503,18.5466
78140,Hemse,57.2437,18.3788
68550,Hoburg,56.9222,18.1471
68560,Hoburg A,56.9209,18.1506
140460,Holmön A,63.807,20.8645
75520,Horn A,57.8861,15.8623
146050,Hoting A,64.0875,16.2356
81370,Hud V,58.6608,11.4178
117440,Hudiksvall,61.7167,17.086
125440,Hunge A,62.7504,15.0845
62250,Hunnestorp V,56.404,12.9436
98290,Husarö,59.5052,18.8417
83190,Hällum A,58.3218,13.0379
127380,Härnösand,62.6364,17.9214
85180,Härsnäs,58.2884,15.2336
63160,Hästveda Mo,56.2799,13.9432
133050,Höglekardalen,63.0785,13.7488
151240,Hökmarksberget V,64.4358,21.28
102540,Höljes,60.9066,12.5843
53530,Hörby A,55.8633,13.6662
112540,Idre Fjäll A,61.8886,12.8521
169880,Jokkmokk,66.6135,19.8316
170860,Jokkmokk Flygplats Mo,66.499,20.131
143440,Jormlien,64.7291,13.9819
136410,Junsele A,63.6839,16.95
166810,Jäckvik,66.3874,16.9714
167800,Jäkkvik V,66.3242,17.0944
139260,Järnäsklubb A,63.4351,19.6731
116430,Järvsö,61.7111,16.1667
74460,Jönköpings Flygplats,57.7514,14.0733
66420,Kalmar Flygplats,56.6784,16.2922
192830,Karesuando,68.4421,22.4502
192840,Karesuando A,68.4418,22.4435
84310,Karlsborg Mo,58.514,14.5102
64130,Karlshamn,56.1813,14.8517
65090,Karlskrona-Söderstjerna Mo,56.1498,15.5921
93220,Karlstad Flygplats,59.4446,13.3374
188820,Katterjåkk,68.4218,18.1698
188850,Katterjåkk A,68.4202,18.168
106160,Kerstinbo A,60.2683,16.9738
85460,Kettstaka A,58.7162,15.0271
94190,Kilsbergen-Suttarboda A,59.2996,14.8956
180940,Kiruna Flygplats,67.827,20.3387
95540,Kloten A,59.8703,15.2522
124300,Klövsjöhöjden A,62.4952,14.1542
86420,Kolmården-Strömsfors A,58.6892,16.3069
133500,Korsvattnet A,63.8385,13.5009
65510,Kosta Mo,56.8403,15.47
64030,Kristianstad,56.0133,14.2896
54990,Kristianstad V,56.0239,14.1027
94180,Kristinehamn,59.3102,14.0994
148300,Kroksjö,64.5073,17.9934
82360,Kroppefjäll-Granan A,58.6065,12.1973
136090,Krångede A,63.1512,16.1699
117430,Kuggören A,61.7027,17.5216
85390,Kvarn Mo,58.6277,15.4372
167980,Kvikkjokk-Årrenjarka,66.8876,18.0179
167990,Kvikkjokk-Årrenjarka A,66.8874,18.0198
83040,Kymbo V,58.0794,13.785
72140,Källsjö,57.2322,12.7018
71510,Kärna,57.8421,11.8049
182930,Lainio,67.7615,22.3518
171790,Lakaträsk A,66.2789,21.1285
87450,Landsort,58.7404,17.8655
87440,Landsort A,58.7429,17.8684
72420,Landvetter Flygplats,57.6764,12.2919
180770,Latnivaara A,67.2551,20.2704
146380,Laxbäcken,64.6389,16.4142
105450,Leksand,60.7248,15.0143
114510,Lillhärdal,61.8547,14.0921
166940,Lillviken-Roparudden V,66.486,16.4173
63510,Ljungby A,56.8525,13.8794
122330,Ljusnedal,62.5493,12.6043
162860,Luleå Flygplats,65.5434,22.1193
162870,Luleå-Bergnäset,65.5746,22.11
53430,Lund,55.6932,13.2251
128390,Lungö A,62.6417,18.0899
148330,Lycksele A,64.5481,18.713
137110,Lännäs,63.1663,17.6543
85050,Malexander A,58.0716,15.233
180750,Malmberget,67.1681,20.6389
85240,Malmslätt,58.4004,15.5327
52350,Malmö A,55.5715,13.0708
103410,Malung,60.6717,13.7058
103420,Malung A,60.6765,13.7072
158750,Malå,65.1812,18.7421
158740,Malå-Brännan A,65.1512,18.5935
83440,Mariestad,58.7136,13.823
63280,Markaryd,56.4577,13.6159
172920,Markusvinsa,66.7259,22.894
155720,Marsliden,65.0251,15.3668
133180,Mattmar V,63.3054,13.8767
166910,Mierkenis A,66.6802,16.1053
104580,Mora A,60.9601,14.5041
62130,Munka-Ljungby,56.2287,12.9834
75240,Målilla,57.3964,15.8315
75250,Målilla A,57.3845,15.8009
81050,Måseskär A,58.0937,11.3312
133190,Mörsil,63.3183,13.6458
191910,Naimakka A,68.6762,21.5229
170930,Nattavaara A,66.7516,20.9238
83420,Naven A,58.6998,13.1109
191720,Nedre Soppero V,68.044,21.755
71190,Nidingen A,57.3036,11.9049
179960,Nikkaluokta A,67.8527,19.0212
134090,Norderön,63.1611,14.3661
81540,Nordkoster A,58.892,11.0038
125170,Norrberg-Norrhög V,62.2632,15.6709
86340,Norrköping-SMHI,58.5828,16.147
149540,Norsjö,64.9093,19.4746
149560,Norsjö A,64.9253,19.3744
62140,Nyhamnsläge,56.2451,12.5401
162980,Orrbyn,65.9446,22.116
63220,Osby,56.3742,13.9376
76160,Oskarshamn,57.267,16.4114
87400,Oxelösund,58.6772,17.1199
172940,Paharova A,66.8094,22.3315
183750,Pajala A,67.2036,23.3899
182910,Parkalompolo A,67.7301,22.8219
149340,Petisträsk A,64.5659,19.6943
161710,Pite-Rönnskär A,65.034,21.5609
161790,Piteå,65.2625,21.474
74440,Prästkulla,57.7236,14.9829
74490,Ramsjöholm,57.8429,14.4317
83280,Remningstorp,58.4529,13.6671
189720,Rensjön A,68.073,19.8351
108110,Risinge,60.1748,18.224
147420,Risträsk V,64.7343,17.4034
177930,Ritsem A,67.7255,17.4668
78290,Roma V,57.5436,18.4253
65160,Ronneby-Bredåkra,56.2619,15.2742
53180,Rynge V,55.4741,13.6683
73480,Rångedala A,57.7846,13.1642
162790,Rödkallen A,65.3121,22.3709
81040,Rörastrand,58.0578,11.6454
134150,Rösta,63.2443,14.5535
116230,Röstebo,61.3882,16.4295
182810,Saittarova A,67.3363,22.2288
96550,Sala,59.9036,16.6579
96560,Sala A,59.9093,16.6843
145580,Saxnäs V,64.9678,15.3791
126440,Sillre V,62.7629,16.7387
86470,Simonstorp_ö,58.7847,16.1544
139120,Skagsudde A,63.1872,19.0199
83270,Skara,58.4072,13.4407
98160,Skarpö A,59.3446,18.7404
66500,Skedemosse,56.823,16.7337
151380,Skellefteå Flygplats,64.6244,21.0717
105070,Skeppsmora V,60.123,15.1226
54290,Skillinge A,55.489,14.3144
83230,Skövde,58.3949,13.8436
157860,Sorsele,65.537,17.529
154730,Stekenjokk A,65.0929,14.5055
98210,Stockholm,59.3417,18.0549
98230,Stockholm A,59.3417,18.0549
97400,Stockholm-Arlanda,59.6269,17.9545
97200,Stockholm-Bromma,59.3537,17.9513
178860,Stora Sjöfallet A,67.4948,18.2907
105220,Stora Spånsberget A,60.3817,15.1374
112530,Storbo V,61.8403,12.288
136360,Storfinnforsen,63.595,16.1846
132170,Storlien-Storvallen A,63.2826,12.1218
132180,Storlien-Visjövalen,63.3028,12.1253
163900,Storön A,65.6972,23.0959
53300,Sturup,55.5231,13.3787
94580,Ställdalen,59.9382,14.8884
127230,Sundsvall-Råsta V,62.4306,17.3447
127310,Sundsvalls Flygplats,62.5246,17.441
93520,Sunne A,59.8639,13.1166
98490,Svanberga A,59.8317,18.6313
124020,Sveg,62.0191,14.1904
124030,Sveg A,62.0462,14.4069
99270,Svenska Högarna,59.4445,19.5059
99280,Svenska Högarna A,59.4423,19.5022
132030,Sylarna A,63.0438,12.2748
92100,Säffle,59.1407,12.9336
113070,Sälen-Högfjället V,61.1583,13.1138
113420,Särna A,61.6912,13.1865
161920,Sävast V,65.7527,21.765
82260,Såtenäs,58.4358,12.7075
99450,Söderarm A,59.7531,19.4054
117160,Söderhamn A,61.2691,17.0983
97120,Södertälje,59.2141,17.6291
178970,Tarfala A,67.9124,18.6101
64320,Tingsryd-Degerhaga,56.5375,14.8989
169790,Tjåkaape Mo,66.3002,19.2
74300,Tomtabacken A,57.4981,14.4645
126290,Torpshammar A,62.4943,16.2774
103080,Torsby,60.1075,12.9908
63590,Torup A,56.9494,13.0601
97100,Tullinge A,59.1785,17.9093
122260,Tännäs A,62.4494,12.6676
72090,Ullared A,57.1134,12.7732
73470,Ulricehamn,57.8052,13.4083
114360,Ulvsjö,61.6022,14.1847
140480,Umeå Flygplats,63.7947,20.2918
97510,Uppsala Aut,59.8586,17.6253
97530,Uppsala Flygplats,59.8953,17.5935
55570,Utklippan A,55.9557,15.7077
169860,Vajmat V,66.505,19.675
96000,Valla,59.0185,16.3709
72080,Varberg,57.1093,12.2961
160960,Vidsel,65.8801,20.1315
160970,Vidsel Mo,65.8769,20.1543
146350,Vilhelmina A,64.5798,16.8386
149120,Vindeln Sunnansjönäs,64.1386,19.7618
71380,Vinga A,57.6322,11.6048
78400,Visby Airport,57.6614,18.3428
84050,Visingsö A,58.0948,14.4058
181900,Vittangi,67.6943,21.6335
81350,Weather Islands A,58576,11.0661
82230,Vanersborg,58.3543,12.3585
85270,Västerlösa,58.4447,15.3772
96350,Vasteras,59.5972,16.6001
138070,Västmarkum A,63.1243,18.2518
64510,Växjö A,56.8463,14.8296
173900,Ylinenjärvi A,66.6223,23.4635
124110,Ytterhogdal,62.1817,14.9478
85490,Zinkgruvan,58.8061,15.1253
114140,Älvdalen A,61.2536,14.0355
161910,Älvsbyn A,65.6691,21062
106570,Åmot A,60.9614,16.4279
133250,Åre-Björnänge V,63.3738,13.1607
82090,Åsbräcka-Torpabron V,58.1997,12.1541
147100,Åsele,64.1598,17.3494
147090,Åsele A,64165,17.3153
94050,Åtorp,59.0966,14.3678
77220,Öland's northern cape,57.3665,17.0976
77210,Öland's northern cape A,57.3671,17.0954
66110,Öland's southern cape A,56.1977,16.4005
66400,Ölandsbron V,56.6669,16.4609
95130,Örebro Airport,59.2289,15.0455
138240,Örnsköldsvik Airport,63.4119,18.9797
108320,Örskär A,60.5256,18.3729
78280,Östergarnsholm A,57.4408,18.9839
102190,Östmark-Lämbacken,60306,12.6977
172770,Överkalix-Svartbyn A,66.2618,22.8427
173810,Övertorneå,66386,23.6155